panel_data,pre_or_post,age,party,education_summary,education,sex,income,race,lib_or_con,duty_or_choice,voted2012,voted2016,voted_for_2012,voted_for_2016,expectations_2020,feeling_dems,feeling_reps,free_press,checks_and_balances,rule_of_law,agree_on_facts,unitary_executive,journalist_access,media_undermined_concern,media_trust,govt_trust,govt_capture,govt_corruption,foreign_help,govt_principled,urban_unrest,party_summary,expect_inparty_win,day_of_birth,date_cutoff,date_2012_election,days_from_cutoff,age_2012_election,treatment,liberal_index,race_Black,race_Hispanic,race_Asian,race_Native,race_Other,race_NA
3,1,44,2,5,7,0,18,White,4,1,1,NA,1,1,1,60,0,0.9478587299914999,0.7207302104367574,0.573083703561271,0.965379884379451,0.8491507732232628,0.9891219875531179,1.1222562270427896,4,3,1,4,5,2,6,Democrat,1,7,1994-11-06,2012-11-06,-6847,36.747433264887064,0,1,0,0,0,0,0,0
3,3,31,1,5,7,0,1,White,2,1,1,NA,2,1,1,85,15,0.9478587299914999,0.7207302104367574,0.573083703561271,-2.162705444993869,0.3034055714462606,0.4758983147661229,1.1222562270427896,2,2,1,4,5,1,7,Democrat,1,27,1994-11-06,2012-11-06,-2019,23.529089664613277,0,0.8740497352470972,0,0,0,0,0,0
3,1,62,7,3,5,0,10,White,6,7,1,1,1,2,3,15,100,-0.5605616145111023,-0.4082399484297345,-0.7622234905552797,-0.07731522541165571,-0.7880848321077437,-0.5505490308078672,-0.34624101076783853,3,3,2,3,3,1,4,Republican,1,13,1994-11-06,2012-11-06,-13446,54.8145106091718,0,0.6482893842747068,0,0,0,0,0,0
4,3,30,4,4,6,0,17,White,1,4,0,1,NA,1,1,20,0,0.9478587299914999,0.7207302104367574,0.573083703561271,0.965379884379451,0.8491507732232628,0.9891219875531179,1.1222562270427896,3,1,1,2,NA,1,7,Independent,NA,24,1994-11-06,2012-11-06,-1716,22.699520876112253,0,1,0,0,0,0,0,0
4,1,60,NA,3,4,1,6,Hispanic,4,1,1,NA,1,1,3,40,30,0.9478587299914999,0.7207302104367574,0.573083703561271,0.965379884379451,0.8491507732232628,0.9891219875531179,1.1222562270427896,4,3,1,4,5,1,1,NA,NA,11,1994-11-06,2012-11-06,-12566,52.40520191649555,0,1,0,1,0,0,0,0
3,3,34,2,5,7,1,18,White,2,2,1,NA,1,1,1,70,30,-1.3147717867624034,-1.5372101072962265,-0.7622234905552797,-0.07731522541165571,0.3034055714462606,-0.5505490308078672,-0.34624101076783853,2,4,2,4,4,1,NA,Democrat,1,19,1994-11-06,2012-11-06,-2909,25.965776865160848,0,0.5740435366379862,0,0,0,0,0,0
4,3,52,1,5,7,0,22,White,2,2,0,NA,NA,NA,1,70,0,0.9478587299914999,0.7207302104367574,0.573083703561271,0.965379884379451,0.8491507732232628,0.9891219875531179,0.3880076081374755,2,3,1,3,5,2,7,Democrat,1,16,1994-11-06,2012-11-06,-9609,44.309377138945926,0,0.9754912748949807,0,0,0,0,0,0
3,3,NA,5,4,6,1,NA,White,4,4,1,NA,1,2,3,15,70,0.9478587299914999,0.7207302104367574,0.573083703561271,0.965379884379451,0.3034055714462606,0.9891219875531179,-1.8147382485784667,1,3,1,4,5,1,3,Independent,NA,27,1994-11-06,2012-11-06,NA,NA,NA,0.889647255758893,0,0,0,0,0,0
4,1,41,1,2,2,0,3,White,2,7,0,NA,NA,NA,1,100,0,0.1936485577401988,-0.4082399484297345,0.573083703561271,0.965379884379451,0.8491507732232628,0.9891219875531179,1.1222562270427896,3,2,1,3,5,1,7,Democrat,1,23,1994-11-06,2012-11-06,-5493,33.040383299110196,0,0.9011184647212195,0,0,0,0,0,0
3,1,40,2,3,4,1,16,White,4,6,1,1,1,2,3,70,40,0.9478587299914999,0.7207302104367574,0.573083703561271,0.965379884379451,0.8491507732232628,0.9891219875531179,0.3880076081374755,3,2,1,3,5,1,7,Democrat,0,11,1994-11-06,2012-11-06,-5231,32.323066392881586,0,0.9754912748949807,0,0,0,0,0,0
4,3,73,1,3,4,1,12,White,4,1,1,NA,1,1,3,30,70,0.1936485577401988,0.7207302104367574,-3.4328378787883813,-0.07731522541165571,-1.333830033884746,-1.5769963763818573,0.3880076081374755,4,4,1,4,3,1,2,Democrat,0,26,1994-11-06,2012-11-06,-17117,64.86516084873374,0,0.6239106750986524,0,0,0,0,0,0
3,3,NA,1,4,6,1,20,Asian,2,1,1,1,1,1,3,70,0,0.1936485577401988,-0.4082399484297345,-0.7622234905552797,-0.07731522541165571,0.3034055714462606,0.4758983147661229,-0.34624101076783853,3,3,1,3,5,1,6,Democrat,0,19,1994-11-06,2012-11-06,NA,NA,NA,0.7392400089193519,0,0,1,0,0,0
3,3,80,1,5,7,1,15,White,3,1,1,NA,2,1,1,70,15,0.9478587299914999,0.7207302104367574,0.573083703561271,-0.07731522541165571,0.8491507732232628,0.9891219875531179,0.3880076081374755,4,3,1,4,5,1,6,Democrat,1,26,1994-11-06,2012-11-06,-19917,72.53114305270363,0,0.942673675993594,0,0,0,0,0,0
3,1,68,1,5,7,1,21,White,2,1,1,NA,1,1,1,70,0,0.9478587299914999,0.7207302104367574,0.573083703561271,0.965379884379451,0.8491507732232628,0.9891219875531179,1.1222562270427896,4,4,1,2,5,1,6,Democrat,1,20,1994-11-06,2012-11-06,-15540,60.54757015742642,0,1,0,0,0,0,0,0
4,3,36,1,3,4,0,9,Black,99,1,1,NA,1,1,1,70,0,-2.0689819590137044,-2.6661802661627183,-2.0975306846718307,-3.2054005547849758,-0.7880848321077437,0.4758983147661229,-1.8147382485784667,2,2,1,3,3,1,7,Democrat,1,4,1994-11-06,2012-11-06,-3715,28.17248459958932,0,0.28086937661667144,1,0,0,0,0,0
