"Estimate_Conventional","SE_Conventional","PValue_Conventional","Estimate_BiasCorrected","SE_BiasCorrected","PValue_BiasCorrected","Estimate_BC_RobustSE","SE_BC_RobustSE","PValue_BC_RobustSE","N_within_bw","N_left_bw","N_right_bw","N_total_left","N_total_right","Bandwidth","Optimal_Bandwidth_h","Controls","Sample","Check_Type","Placebo_Cutoff","Polynomial_Degree","Outcome","Weighted"
-0.0365220903862876,0.0451433571633942,0.418500946537694,-0.11774081242488,0.0451433571633942,0.00910320787294097,-0.11774081242488,0.0711889131699018,0.0981436395078537,367,212,155,4483,385,950,611.560262709083,"With Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
-0.0320062617724946,0.0437048031940851,0.463968244309566,-0.109999824351554,0.0437048031940851,0.011839853730843,-0.109999824351554,0.0688637822888469,0.110186864530422,391,229,162,4483,385,1004,611.560262709083,"With Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
-0.0267905793818539,0.0423325699316283,0.526825237906769,-0.104234287654897,0.0423325699316283,0.013806004778561,-0.104234287654897,0.0666418070897101,0.117794659646698,413,241,172,4483,385,1059,611.560262709083,"With Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
-0.0224513032070282,0.0410076372839143,0.584041604990472,-0.097350866574546,0.0410076372839143,0.0175980198856701,-0.097350866574546,0.0644300996338667,0.130800369669609,427,250,177,4483,385,1114,611.560262709083,"With Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
-0.0192094740605988,0.0399579733620469,0.630699911788175,-0.0915795905847744,0.0399579733620469,0.0219115421973908,-0.0915795905847744,0.0628344049528256,0.144985236184951,443,263,180,4483,385,1168,611.560262709083,"With Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
-0.0163354472090497,0.0390410751269444,0.675642302833076,-0.0867032059249001,0.0390410751269444,0.0263631459240091,-0.0867032059249001,0.0614236909794548,0.158079649835395,466,282,184,4483,385,1223,611.560262709083,"With Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
0.0443868098945593,0.0518229627053948,0.391716553596359,0.0655009688506689,0.0518229627053948,0.206252578968043,0.0655009688506689,0.0600196413820448,0.275129653859819,388,201,187,4531,568,NA,NA,"Without Controls","Full Sample","Placebo Cutoff Test",-730,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
0.0158245517454932,0.0428467883771306,0.71188268202343,0.0249937876795207,0.0428467883771306,0.559671632297806,0.0249937876795207,0.051012900923254,0.624169046457423,485,271,214,4623,476,NA,NA,"Without Controls","Full Sample","Placebo Cutoff Test",-365,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
-0.0629227502997465,0.069180153750806,0.363060324090695,-0.0852469461717177,0.069180153750806,0.217857321159338,-0.0852469461717177,0.0813147342220274,0.294473730327261,279,160,119,4704,395,NA,NA,"Without Controls","Full Sample","Placebo Cutoff Test",0,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
-0.0134814707601402,0.0493350131722508,0.784650477676563,-0.0303236042762438,0.0493350131722508,0.538788049882208,-0.0303236042762438,0.0585036039119484,0.60423482667932,318,194,124,4776,323,NA,NA,"Without Controls","Full Sample","Placebo Cutoff Test",365,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
